config,topic_id,top_words
LDA,0,"query, semantic, method, index, aware, vector, graph, search, propose, reconstruction"
LDA,1,"pattern, structural, group, layer, head, structured, concept, filter, encoding, representation"
LDA,2,"dataset, visual, generation, object, video, scene, feature, framework, introduce, base"
LDA,3,"llm, agent, safety, task, human, code, knowledge, workflow, prompt, datum"
LDA,4,"block, cache, node, inference, communication, cost, latency, request, compute, gpu"
LDA,5,"model, training, task, benchmark, image, introduce, signal, evaluate, improve, level"
LDA,6,"memory, gpu, hand, cpu, bit, predicate, question_answer, recall, bandwidth, merge"
LDA,7,"attention, geometric, token, native, scheduling, dense, accelerate, conflict, decouple, stream"
LDA,8,"privacy, channel, gaussian, flow, problem, algorithm, learn, error, stability, study"
LDA,9,"wind, governance, mcp, enterprise, degree, clock, factor, audit, trend, nlp"
LDA,10,"system, base, performance, design, database, workload, cost, optimization, approach, reduce"
LDA,11,"framework, datum, graph, system, base, model, analysis, execution, data, support"
LDA,12,"security, attack, software, repository, quantum, agent, code, tool, practice, report"
LDA,13,"rule, protocol, match, language, comparison, overall, verification, order, set, corpus"
LDA,14,"evidence, source, retrieval, context, table, state, answer, schema, decision, input"
BERTopic+HDBSCAN (MiniLM),0,"gpu, workload, model, system, memory, hardware, latency, cost, base, aware"
BERTopic+HDBSCAN (MiniLM),1,"visual, image, scene, object, model, representation, motion, video, base, framework"
BERTopic+HDBSCAN (MiniLM),2,"memory, model, llm, evidence, task, retrieval, context, answer, token, document"
BERTopic+HDBSCAN (MiniLM),3,"code, test, software, repository, prompt, patch, repair, program, llm, bug"
BERTopic+HDBSCAN (MiniLM),4,"attack, security, agent, defense, llm, model, threat, attacker, tool, prompt"
BERTopic+HDBSCAN (MiniLM),5,"query, table, semantic, database, pipeline, join, llm, schema, datum, column"
BERTopic+HDBSCAN (MiniLM),6,"authentication, optimization, application, state, testing, base, circuit, protocol, result, battery"
BERTopic+HDBSCAN (MiniLM),7,"molecular, clinical, segmentation, dataset, disease, framework, feature, model, capture, multiscale"
BERTopic+HDBSCAN (MiniLM),8,"query, index, interval, search, graph, range, tree, workload, base, hardness"
BERTopic+HDBSCAN (MiniLM),9,"ids, attack, network, forensic, traffic, iot, adversarial, detection, dataset, vehicle"
BERTopic+HDBSCAN (MiniLM),10,"speech, audio, sound, acoustic, asr, text, word, llm, target, naturalness"
BERTopic+HDBSCAN (MiniLM),11,"datum, data, analytical, decision, database, instrument, framework, workflow, metadata, system"
BERTopic+HDBSCAN (MiniLM),12,"forecasting, model, timeseries, attention, state, extreme, latent, power, degradation, temporal"
BERTopic+HDBSCAN (MiniLM),13,"trust, identity, decentralized, system, protocol, mechanism, secure, type, solution, block"
BERTopic+UMAP+KMeans (MiniLM),0,"model, image, visual, base, framework, representation, scene, method, task, dynamic"
BERTopic+UMAP+KMeans (MiniLM),1,"code, agent, model, llm, tool, software, skill, prompt, framework, task"
BERTopic+UMAP+KMeans (MiniLM),2,"model, llm, memory, reasoning, task, base, benchmark, training, evidence, improve"
BERTopic+UMAP+KMeans (MiniLM),3,"gpu, model, workload, system, memory, base, cost, hardware, performance, latency"
BERTopic+UMAP+KMeans (MiniLM),4,"query, graph, datum, semantic, search, table, database, base, schema, index"
BERTopic+UMAP+KMeans (MiniLM),5,"attack, security, model, agent, detection, defense, framework, llm, privacy, network"
BERTopic+UMAP+KMeans (MiniLM),6,"protocol, base, network, application, state, circuit, result, prove, attack, optimization"
BERTopic+HDBSCAN (SciBERT),0,"gpu, model, memory, workload, latency, system, cost, performance, cache, inference"
BERTopic+HDBSCAN (SciBERT),1,"repair, model, match, budget, single, state, memory, boundary, block, predict"
